"vaccine","country_code","country","year","coverage"
"MCV1","BAR","baringo",2013,0.721040727039291
"MCV2","BAR","baringo",2013,0
"MCV1","BAR","baringo",2014,0.767450913908223
"MCV2","BAR","baringo",2014,0
"MCV1","BAR","baringo",2015,0.744423491722666
"MCV2","BAR","baringo",2015,0.260540659954201
"MCV1","BAR","baringo",2016,0.740279018327465
"MCV2","BAR","baringo",2016,0.297111666824778
"MCV1","BAR","baringo",2017,0.674539422614981
"MCV2","BAR","baringo",2017,0.324350583851694
"MCV1","BAR","baringo",2018,0.783317678605002
"MCV2","BAR","baringo",2018,0.42954234892685
"MCV1","BAR","baringo",2019,0.807902476940386
"MCV2","BAR","baringo",2019,0.514083818016902
"MCV1","BAR","baringo",2020,0.824971158926811
"MCV2","BAR","baringo",2020,0.493591869475844
"MCV1","BAR","baringo",2021,0.832607599213727
"MCV2","BAR","baringo",2021,0.542447654907319
"MCV1","BAR","baringo",2022,0.847415697415823
"MCV2","BAR","baringo",2022,0.570325153788964
"MCV1","BAR","baringo",2023,0.845991484957025
"MCV2","BAR","baringo",2023,0.599794114861348
"MCV1","BAR","baringo",2028,0.895991484957025
"MCV2","BAR","baringo",2028,0.649794114861348
"MCV1","BAR","baringo",2027,0.885991484957025
"MCV2","BAR","baringo",2027,0.639794114861348
"MCV1","BAR","baringo",2025,0.865991484957025
"MCV2","BAR","baringo",2025,0.619794114861348
"MCV1","BAR","baringo",2026,0.875991484957025
"MCV2","BAR","baringo",2026,0.629794114861348
"MCV1","BAR","baringo",2029,0.905991484957025
"MCV2","BAR","baringo",2029,0.659794114861348
"MCV1","BAR","baringo",2024,0.855991484957025
"MCV2","BAR","baringo",2024,0.609794114861348
"MCV1","BAR","baringo",2030,0.915991484957025
"MCV2","BAR","baringo",2030,0.669794114861348
"MCV1","BOM","bomet",2013,0.707477580264379
"MCV2","BOM","bomet",2013,0
"MCV1","BOM","bomet",2017,0.661747952890509
"MCV2","BOM","bomet",2017,0.346921135223628
"MCV1","BOM","bomet",2014,0.753013732896018
"MCV2","BOM","bomet",2014,0
"MCV1","BOM","bomet",2021,0.816943759079371
"MCV2","BOM","bomet",2021,0.567693647914209
"MCV1","BOM","bomet",2018,0.768582241926879
"MCV2","BOM","bomet",2018,0.451163625593413
"MCV1","BOM","bomet",2016,0.726352683447715
"MCV2","BOM","bomet",2016,0.31386815187212
"MCV1","BOM","bomet",2025,0.850078154286398
"MCV2","BOM","bomet",2025,0.643604935999553
"MCV1","BOM","bomet",2019,0.792714755120133
"MCV2","BOM","bomet",2019,0.538611766060561
"MCV1","BOM","bomet",2020,0.809450979682097
"MCV2","BOM","bomet",2020,0.51674687477902
"MCV1","BOM","bomet",2028,0.880078154286398
"MCV2","BOM","bomet",2028,0.673604935999553
"MCV1","BOM","bomet",2029,0.890078154286398
"MCV2","BOM","bomet",2029,0.683604935999553
"MCV1","BOM","bomet",2027,0.870078154286398
"MCV2","BOM","bomet",2027,0.663604935999553
"MCV1","BOM","bomet",2026,0.860078154286398
"MCV2","BOM","bomet",2026,0.653604935999553
"MCV1","BOM","bomet",2023,0.830078154286398
"MCV2","BOM","bomet",2023,0.623604935999553
"MCV1","BOM","bomet",2030,0.900078154286398
"MCV2","BOM","bomet",2030,0.693604935999553
"MCV1","BOM","bomet",2015,0.730424042671124
"MCV2","BOM","bomet",2015,0.275058428725967
"MCV1","BOM","bomet",2024,0.840078154286398
"MCV2","BOM","bomet",2024,0.633604935999553
"MCV1","BOM","bomet",2022,0.831477655722847
"MCV2","BOM","bomet",2022,0.596067604470593
"MCV1","BMA","bungoma",2021,0.835328816734274
"MCV2","BMA","bungoma",2021,0.51525408196599
"MCV1","BMA","bungoma",2014,0.76995932395262
"MCV2","BMA","bungoma",2014,0
"MCV1","BMA","bungoma",2025,0.86877804726365
"MCV2","BMA","bungoma",2025,0.594295391029664
"MCV1","BMA","bungoma",2022,0.850186884787478
"MCV2","BMA","bungoma",2022,0.542740311779427
"MCV1","BMA","bungoma",2015,0.746909712003759
"MCV2","BMA","bungoma",2015,0.245606473018809
"MCV1","BMA","bungoma",2016,0.742699297356354
"MCV2","BMA","bungoma",2016,0.279902541597063
"MCV1","BMA","bungoma",2019,0.810537832986843
"MCV2","BMA","bungoma",2019,0.487644881142778
"MCV1","BMA","bungoma",2029,0.90877804726365
"MCV2","BMA","bungoma",2029,0.634295391029664
"MCV1","BMA","bungoma",2023,0.84877804726365
"MCV2","BMA","bungoma",2023,0.574295391029664
"MCV1","BMA","bungoma",2020,0.82766739680574
"MCV2","BMA","bungoma",2020,0.468612659098577
"MCV1","BMA","bungoma",2030,0.91877804726365
"MCV2","BMA","bungoma",2030,0.644295391029664
"MCV1","BMA","bungoma",2027,0.88877804726365
"MCV2","BMA","bungoma",2027,0.614295391029664
"MCV1","BMA","bungoma",2026,0.87877804726365
"MCV2","BMA","bungoma",2026,0.604295391029664
"MCV1","BMA","bungoma",2028,0.89877804726365
"MCV2","BMA","bungoma",2028,0.624295391029664
"MCV1","BMA","bungoma",2024,0.85877804726365
"MCV2","BMA","bungoma",2024,0.584295391029664
"MCV1","BMA","bungoma",2017,0.676583283120855
"MCV2","BMA","bungoma",2017,0.302805903221565
"MCV1","BMA","bungoma",2018,0.785877490860428
"MCV2","BMA","bungoma",2018,0.40646671810597
"MCV1","BMA","bungoma",2013,0.723415876032549
"MCV2","BMA","bungoma",2013,0
"MCV1","BSA","busia",2018,0.789671537881831
"MCV2","BSA","busia",2018,0.448120746149866
"MCV1","BSA","busia",2019,0.814464124949002
"MCV2","BSA","busia",2019,0.535448304320434
"MCV1","BSA","busia",2029,0.912859265926739
"MCV2","BSA","busia",2029,0.680212386374942
"MCV1","BSA","busia",2017,0.679867807131711
"MCV2","BSA","busia",2017,0.33975177578996
"MCV1","BSA","busia",2026,0.882859265926739
"MCV2","BSA","busia",2026,0.650212386374942
"MCV1","BSA","busia",2024,0.862859265926739
"MCV2","BSA","busia",2024,0.630212386374942
"MCV1","BSA","busia",2023,0.852859265926739
